cliente_id,idade,uf,escolaridade,estado_civil,profissao,segmento,renda_mensal,score_credito,tempo_relacionamento_meses,qtd_produtos,agencia_id,gerente_id,canal_preferencial,produto_principal,media_qtd_pix_6m,media_valor_pix_6m,valor_total_pix_6m,qtd_transacoes_cartao_6m,valor_cartao_6m,qtd_login_app_30d,qtd_tentativas_login_falha_30d,qtd_contestacoes_12m,dias_desde_ultima_fraude,tipo_fraude,valor_fraude,qtd_protocolos_atendimento_90d,tempo_resolucao_dias,teve_estorno,percentual_estornado,reclamacao_bacen,reclamacao_consumidor_gov,vulnerabilidade_digital_score,advogado_id,prob_judicializacao_teorica,judicializou
5873,47,MG,Medio,Casado,CLT,Universitario,1039.43,597,52,1,565,538,Caixa Eletronico,Emprestimo,28,291.54,43840.53,44,854.83,17,0,1,345,Pix falso,663.07,0,21,0,0.147,0,0,37.0,0,0.1432,0
5874,28,PR,Fundamental,Casado,CLT,Varejo,3647.27,717,94,3,525,234,Agencia,Cartao credito,21,487.88,50926.93,40,2167.42,12,10,1,92,Engenharia social,462.3,0,33,1,0.782,1,0,38.3,0,0.1326,0
5875,61,GO,Medio,Viuvo,Aposentado,Private,38415.72,650,58,4,18,1444,Internet Banking,Conta corrente,35,1071.18,217704.7,75,23527.42,17,1,0,452,Pix falso,541.01,1,10,1,0.999,0,0,65.5,0,0.0938,0
5876,27,SP,Fundamental,Solteiro,Estudante,Universitario,1697.12,592,77,1,763,2350,App,Cartao credito,20,52.85,5445.57,60,1425.0,30,2,0,180,Pix falso,1398.02,3,27,1,0.921,0,0,36.9,0,0.0637,0
5877,18,BA,Superior,Casado,CLT,Alta renda,17912.96,635,145,3,218,3268,App,Conta corrente,30,2240.67,323923.61,65,106352.07,39,2,0,95,Boleto falso,1379.7,1,33,0,0.046,0,0,8.2,33,0.2378,0
5878,48,PE,Pos-graduacao,Solteiro,CLT,Varejo,6348.24,447,54,4,120,527,App,Cartao credito,21,1168.61,127453.01,40,7137.37,39,2,1,276,Engenharia social,2029.67,3,24,0,0.007,0,0,26.7,277,0.1888,1
5879,30,SP,Superior,Solteiro,Estudante,Varejo,3031.34,573,137,4,132,3491,Internet Banking,Investimentos,13,281.8,19493.26,46,6551.38,13,1,0,74,Conta invadida,1129.15,2,14,0,0.004,0,0,17.3,146,0.116,0
5880,47,RS,Medio,Casado,Estudante,MEI,6560.22,617,86,1,225,522,Telefone,Emprestimo,24,642.32,88013.6,44,7085.44,12,1,2,2,Pix falso,1109.39,1,7,0,0.016,0,0,22.3,0,0.0747,0
5881,18,SC,Superior,Viuvo,CLT,Alta renda,13864.78,774,176,5,29,3198,App,Financiamento,31,313.12,57404.87,72,9547.82,42,1,0,211,Golpe do motoboy,3610.93,3,48,0,0.206,0,0,22.0,0,0.3085,1
5882,63,MG,Pos-graduacao,Casado,Autonomo,Alta renda,11669.04,814,23,1,727,2391,App,Conta salario,32,867.71,144081.34,64,16998.95,36,2,0,11,Pix falso,2722.41,2,8,0,0.089,0,0,51.7,0,0.1815,0
5883,52,MG,Fundamental,Casado,CLT,Varejo,3452.34,468,68,3,214,444,Internet Banking,Conta corrente,28,74.26,10679.57,48,1397.91,14,0,0,83,Engenharia social,3180.97,1,21,1,0.548,0,0,40.2,0,0.0497,0
5884,19,SP,Medio,Casado,Autonomo,Varejo,5893.78,607,39,4,595,2261,App,Cartao credito,17,436.69,40893.37,46,6332.66,35,0,0,217,Pix falso,2847.68,0,3,1,0.75,0,0,28.4,0,0.0268,0
5885,20,RS,Fundamental,Solteiro,CLT,Aposentado,3913.66,690,127,1,583,3489,App,Cartao credito,13,559.54,38675.65,45,10705.59,34,3,1,594,Golpe do motoboy,682.95,2,6,1,0.757,0,0,45.1,0,0.0283,0
5886,67,SP,Superior,Casado,CLT,Alta renda,23078.3,678,56,5,428,2750,Internet Banking,Cartao credito,25,2391.26,363893.37,63,16514.48,18,2,0,564,Boleto falso,419.25,1,15,1,0.765,0,0,51.5,0,0.0588,0
5887,31,MG,Superior,Casado,Servidor publico,Varejo,2137.53,623,73,2,167,1236,Telefone,Conta corrente,22,385.96,45962.75,43,2982.07,25,0,1,204,Engenharia social,4169.6,0,26,0,0.005,0,0,39.6,68,0.2637,1
5888,29,PE,Medio,Solteiro,Empresario,MEI,6091.45,806,56,1,634,3010,Telefone,Conta corrente,20,159.23,18458.16,62,4654.18,12,3,2,13,Cartao clonado,2297.07,2,6,1,0.994,0,0,41.9,0,0.0294,0
5889,18,SP,Medio,Solteiro,Aposentado,MEI,10824.26,713,39,3,737,550,App,Financiamento,18,864.64,75392.99,64,8714.35,38,1,0,112,Engenharia social,337.15,0,15,0,0.005,0,0,28.0,0,0.0831,0
5890,37,MG,Medio,Divorciado,Servidor publico,Alta renda,6919.6,740,75,5,230,1588,App,Conta corrente,28,741.34,112348.11,63,7442.08,40,1,0,124,Engenharia social,4277.6,0,17,1,0.855,0,0,39.9,48,0.1062,0
5891,39,MG,Medio,Casado,CLT,Universitario,3700.15,720,64,3,257,3010,App,Investimentos,27,500.78,78964.67,47,2131.4,35,1,1,6,Conta invadida,7841.41,6,74,0,0.014,0,0,36.7,0,0.6505,0
5892,53,RJ,Fundamental,Casado,Autonomo,MEI,3701.89,888,88,1,630,2408,App,Conta corrente,22,189.96,20960.01,44,10487.08,33,0,2,143,Conta invadida,1091.81,1,8,0,0.089,0,0,34.0,0,0.0764,0
5893,21,PR,Medio,Casado,CLT,Aposentado,6714.46,391,27,1,494,2461,App,Conta corrente,25,3915.27,532578.1,54,20651.91,37,2,0,45,Pix falso,4554.63,2,15,1,0.55,0,0,34.7,0,0.0494,0
5894,19,SP,Fundamental,Casado,Aposentado,Universitario,1544.38,741,91,4,719,652,Telefone,Conta corrente,21,80.66,9311.06,48,965.26,14,3,0,274,Pix falso,1267.49,1,42,0,0.041,1,0,58.4,0,0.5541,1
5895,49,MG,Fundamental,Casado,CLT,Varejo,2730.14,689,87,5,201,2887,App,Conta corrente,23,76.16,9581.83,52,6580.11,34,1,0,308,Engenharia social,1419.94,1,23,0,0.182,1,0,42.3,0,0.2792,1
5896,57,MG,Superior,Solteiro,Aposentado,Varejo,1592.68,632,37,1,475,3276,App,Investimentos,25,72.98,11276.99,46,4124.37,39,2,1,105,Pix falso,2339.83,2,37,1,0.606,0,0,45.8,0,0.1071,0
5897,18,MG,Medio,Casado,CLT,Alta renda,9856.05,692,124,2,401,329,App,Conta corrente,38,1184.2,277272.31,72,6346.18,39,0,0,319,Pix falso,1633.2,0,13,0,0.19,0,1,39.0,0,0.2451,0
5898,58,SP,Medio,Solteiro,CLT,Varejo,7900.83,607,211,4,73,1877,App,Conta corrente,20,1253.98,146422.62,51,11674.44,34,4,0,154,Cartao clonado,780.71,0,26,1,0.777,0,0,41.7,0,0.0525,0
5899,43,SP,Superior,Solteiro,CLT,Varejo,6444.74,679,130,1,625,1160,App,Conta corrente,16,1930.51,148348.76,33,10041.64,35,3,0,89,Cartao clonado,1372.94,2,23,1,0.922,0,0,19.6,0,0.0336,0
5900,58,RS,Medio,Divorciado,CLT,Varejo,2696.88,802,62,1,44,309,Agencia,Conta salario,19,65.41,7476.65,57,3268.37,15,2,1,51,Engenharia social,1265.38,2,38,0,0.036,0,0,46.1,0,0.2289,0
5901,41,SP,Medio,Solteiro,Desempregado,Varejo,9392.4,591,50,2,356,3190,Internet Banking,Conta corrente,24,1249.5,155842.94,68,8413.5,2,1,1,123,Conta invadida,1297.09,4,13,1,0.748,0,0,50.3,0,0.0406,0
5902,18,SP,Medio,Casado,CLT,Varejo,3889.84,726,62,1,252,823,Telefone,Conta corrente,14,396.98,30383.97,41,3360.14,27,1,0,58,Pix falso,5073.14,3,24,1,0.518,0,0,35.7,0,0.0696,0
5903,40,PE,Pos-graduacao,Solteiro,Autonomo,Alta renda,13371.0,828,31,2,496,1619,App,Financiamento,32,1835.58,285358.26,65,10462.78,37,1,0,421,Cartao clonado,3471.58,0,7,0,0.0,0,0,34.0,0,0.1156,0
5904,58,SP,Fundamental,Casado,Autonomo,Varejo,4054.3,664,168,4,789,681,Telefone,Emprestimo,20,416.75,45205.45,55,8336.94,14,1,1,78,Pix falso,7714.92,4,13,1,0.849,0,0,38.7,0,0.0592,0
5905,29,MG,Medio,Solteiro,Autonomo,Varejo,2492.37,738,47,2,536,3084,WhatsApp,Conta corrente,26,208.54,27410.67,45,3345.4,13,4,0,201,Cartao clonado,1539.64,1,27,1,0.835,0,0,49.7,0,0.0649,1
5906,36,RS,Superior,Solteiro,Autonomo,Varejo,2515.03,506,35,3,491,794,App,Conta salario,28,60.81,10244.17,47,4306.12,28,2,0,32,Golpe do motoboy,5599.99,6,37,0,0.085,1,0,23.3,0,0.4503,0
5907,39,SP,Superior,Solteiro,Aposentado,Aposentado,8625.19,743,93,2,758,1741,Agencia,Conta corrente,31,877.14,164709.58,61,35941.83,21,3,0,69,Conta invadida,1815.06,1,14,1,0.882,0,0,15.9,0,0.0238,0
5908,18,SP,Medio,Viuvo,Servidor publico,Aposentado,2757.15,573,77,5,453,2908,App,Investimentos,23,640.45,86236.19,48,5114.84,41,0,0,388,Conta invadida,10899.13,3,32,0,0.0,0,0,27.3,0,0.2342,0
5909,67,PR,Medio,Solteiro,Servidor publico,Varejo,3830.73,700,42,2,175,2371,App,Conta corrente,9,72.9,3366.66,46,9441.76,34,3,0,379,Conta invadida,2160.84,4,37,0,0.015,0,0,57.4,0,0.2705,0
5910,28,RJ,Fundamental,Solteiro,Autonomo,Alta renda,23607.65,611,70,3,216,3363,App,Conta salario,32,4442.93,784422.15,74,39441.58,37,1,1,24,Conta invadida,536.62,0,10,1,0.611,0,0,53.0,0,0.0515,0
5911,50,SP,Medio,Casado,CLT,Varejo,3470.43,645,116,1,787,3130,App,Financiamento,20,33.93,3767.6,39,2703.56,34,0,0,35,Conta invadida,4006.81,2,19,1,0.582,0,0,42.0,0,0.0503,0
5912,41,SP,Medio,Solteiro,CLT,Varejo,4476.0,563,33,1,497,207,App,Conta corrente,19,629.64,66168.26,41,7514.98,33,12,0,10,Pix falso,1483.88,2,28,1,0.804,1,0,62.9,0,0.2094,0
5913,61,SP,Fundamental,Casado,CLT,Private,25913.97,671,45,2,211,2828,App,Cartao credito,40,4204.0,984664.82,80,42910.9,30,2,0,1,Emprestimo fraudulento,8814.94,3,15,1,0.825,0,0,83.8,0,0.2521,0
5914,48,ES,Fundamental,Solteiro,CLT,Varejo,4400.04,667,155,4,671,2959,App,Investimentos,28,639.26,101247.85,51,4084.28,32,1,3,36,Cartao clonado,1338.23,0,9,1,0.748,1,0,30.5,0,0.057,0
5915,38,SP,Superior,Divorciado,CLT,Alta renda,10274.18,686,85,1,27,2690,App,Cartao credito,28,749.54,127841.49,72,17858.11,39,3,0,44,Conta invadida,3369.11,0,18,1,0.859,0,0,39.0,0,0.062,0
5916,29,MG,Medio,Solteiro,CLT,Varejo,3195.28,620,42,3,773,2036,Internet Banking,Seguro,28,534.28,74033.27,45,4448.25,15,2,0,134,Pix falso,5033.16,2,30,0,0.024,0,0,50.4,0,0.2747,0
5917,54,RJ,Pos-graduacao,Solteiro,CLT,Universitario,3101.5,680,16,1,413,640,Internet Banking,Investimentos,21,219.66,27953.05,51,7564.11,22,1,0,79,Cartao clonado,12558.03,4,18,0,0.1,1,0,35.0,195,0.4909,1
5918,18,PR,Fundamental,Casado,Desempregado,Varejo,3151.45,671,45,2,110,343,App,Conta corrente,19,60.59,6087.16,45,4286.19,38,1,0,25,Conta invadida,1788.74,2,9,0,0.097,1,1,46.7,0,0.3022,1
5919,52,MG,Superior,Casado,Servidor publico,MEI,2095.96,525,128,5,751,3470,App,Cartao credito,24,141.83,17863.39,49,1135.96,32,1,0,340,Engenharia social,642.45,3,10,1,0.736,0,0,21.4,0,0.0213,0
5920,26,SC,Superior,Casado,Autonomo,Varejo,1641.76,740,38,2,449,2307,WhatsApp,Seguro,21,131.54,13688.12,45,4293.27,19,4,0,143,Pix falso,539.77,2,26,1,0.93,0,0,40.7,72,0.1039,0
5921,61,CE,Superior,Casado,CLT,Varejo,3199.67,532,102,4,1,2250,Telefone,Cartao credito,13,229.05,15730.12,49,3331.6,21,1,1,158,Pix falso,8803.23,3,23,0,0.127,0,0,64.9,0,0.3255,0
5922,44,SP,Superior,Solteiro,Desempregado,Varejo,6531.35,950,87,5,585,2055,App,Cartao credito,31,607.72,99080.07,38,27824.89,32,0,0,27,Cartao clonado,11836.08,3,18,0,0.042,0,0,61.4,0,0.268,0
5923,52,SP,Fundamental,Divorciado,CLT,Varejo,4507.91,731,51,2,518,822,App,Conta corrente,17,601.97,51836.42,46,2829.38,43,1,1,71,Pix falso,1845.44,1,10,0,0.05,0,1,48.1,0,0.1973,0
5924,43,ES,Medio,Casado,Aposentado,Varejo,2966.69,627,69,1,368,1235,Agencia,Cartao credito,27,72.2,11765.24,52,3760.91,20,6,0,164,Boleto falso,223.9,4,22,1,0.706,0,0,36.8,0,0.0409,0
5925,18,PE,Superior,Casado,Aposentado,Varejo,2393.78,468,76,3,686,2177,App,Cartao credito,25,84.38,11311.54,52,2330.07,41,0,0,164,Cartao clonado,7368.33,3,17,1,0.639,1,0,24.1,0,0.0929,0
5926,29,RJ,Medio,Solteiro,Servidor publico,Varejo,3042.87,682,33,1,265,3175,App,Conta corrente,11,317.81,19246.48,52,3595.38,33,1,1,268,Pix falso,1228.32,0,16,1,0.803,0,0,34.1,0,0.0418,0
5927,52,CE,Medio,Casado,Autonomo,Aposentado,3130.55,598,22,4,68,1078,App,Conta corrente,23,539.11,65126.52,42,1471.43,38,1,0,376,Engenharia social,1067.72,1,40,1,0.84,0,0,16.4,72,0.0919,0
5928,44,RS,Fundamental,Casado,Autonomo,MEI,5146.11,617,70,3,158,1045,App,Cartao credito,22,1283.72,153578.27,48,10949.74,40,3,0,19,Pix falso,2565.0,3,19,1,0.991,0,1,49.9,0,0.1031,0
5929,60,RJ,Superior,Casado,Aposentado,Aposentado,4218.23,667,93,3,467,1782,App,Emprestimo,23,267.59,35916.8,44,4863.0,42,3,1,125,Conta invadida,1271.42,4,25,1,0.441,0,0,47.1,0,0.0573,0
5930,48,CE,Superior,Divorciado,Desempregado,Varejo,2343.04,546,45,7,364,2347,App,Cartao credito,16,59.23,5278.71,53,7485.61,33,0,1,35,Pix falso,3688.21,2,8,1,0.848,0,0,34.2,0,0.0369,0
5931,27,RS,Medio,Casado,Desempregado,Alta renda,4117.8,727,76,5,303,1752,Agencia,Emprestimo,26,671.7,87510.44,77,5313.45,22,0,1,720,Golpe do motoboy,4672.41,1,19,1,0.968,0,0,40.5,0,0.0707,0
5932,30,BA,Pos-graduacao,Casado,CLT,Aposentado,2167.28,539,66,3,189,976,App,Cartao credito,28,660.6,104605.43,44,2660.86,43,1,0,169,Cartao clonado,4469.18,2,14,0,0.056,0,1,35.2,25,0.2673,1
5933,44,RJ,Medio,Solteiro,Desempregado,Varejo,5316.18,596,21,1,659,1530,App,Conta corrente,19,181.65,18893.14,40,8329.45,37,4,0,59,Pix falso,4513.67,1,65,0,0.016,0,0,23.8,0,0.4364,0
5934,18,BA,Medio,Solteiro,Aposentado,Aposentado,3040.94,638,68,6,370,2140,App,Cartao credito,13,598.96,40635.72,44,5056.36,37,0,0,299,Pix falso,1435.91,2,29,1,0.886,1,0,31.8,0,0.1351,0
5935,67,RJ,Medio,Casado,CLT,Varejo,1419.84,631,39,3,467,3062,App,Seguro,13,42.89,2703.81,44,1118.98,33,0,1,14,Engenharia social,311.42,0,20,0,0.054,0,0,63.3,0,0.1691,0
5936,49,SC,Superior,Solteiro,CLT,Private,78137.28,708,114,5,331,1630,Caixa Eletronico,Financiamento,35,15515.82,3354521.76,81,51004.75,13,1,0,83,Conta invadida,2442.88,2,12,0,0.124,0,1,55.6,204,0.4298,0
5937,60,RJ,Medio,Casado,Aposentado,Alta renda,5788.34,736,68,1,63,184,App,Conta corrente,29,785.32,118066.68,70,6421.39,38,2,0,53,Cartao clonado,2562.37,1,11,1,0.667,0,0,30.0,0,0.0403,0
5938,18,RJ,Medio,Solteiro,CLT,Alta renda,20292.74,894,50,1,542,1993,App,Conta corrente,40,639.1,156170.36,66,14071.56,31,1,0,266,Golpe do motoboy,2083.79,0,48,1,0.709,0,0,25.8,0,0.1213,0
5939,61,BA,Pos-graduacao,Viuvo,CLT,Varejo,4238.01,662,85,1,255,4,Caixa Eletronico,Cartao credito,18,534.53,58426.04,59,5648.74,18,0,0,12,Engenharia social,631.57,0,13,1,0.605,0,0,43.9,0,0.035,0
5940,75,SP,Medio,Divorciado,CLT,Varejo,2364.52,596,57,1,205,2169,App,Conta corrente,24,73.98,10756.68,33,6370.5,28,2,0,33,Cartao clonado,412.04,2,19,0,0.006,0,0,44.0,272,0.1949,0
5941,22,GO,Fundamental,Casado,CLT,Varejo,4559.84,544,68,3,377,2907,App,Conta salario,28,127.58,19423.55,46,5588.35,35,1,0,187,Conta invadida,252.77,3,33,0,0.015,1,0,38.6,0,0.3241,0
5942,54,MG,Medio,Solteiro,Servidor publico,Varejo,10110.37,779,77,4,10,1439,App,Conta corrente,26,2722.04,368939.98,52,19796.17,34,2,0,362,Pix falso,1238.83,2,44,0,0.003,1,0,24.6,0,0.42,0
5943,42,RS,Medio,Casado,CLT,Alta renda,5458.97,611,137,2,426,288,App,Conta corrente,26,83.75,11231.82,70,8107.92,34,8,1,125,Cartao clonado,3569.92,2,22,1,0.512,0,1,47.9,0,0.1297,0
5944,19,RJ,Fundamental,Solteiro,CLT,Varejo,2477.63,451,37,3,326,2916,App,Emprestimo,15,186.03,15029.82,49,734.83,40,2,0,78,Cartao clonado,8811.15,4,11,0,0.019,0,0,51.9,0,0.1677,0
5945,49,RS,Superior,Solteiro,Autonomo,Varejo,5456.84,749,40,1,541,2675,Caixa Eletronico,Financiamento,28,82.02,13144.77,58,7363.48,23,0,0,121,Engenharia social,1776.11,2,20,0,0.15,0,1,14.7,0,0.1325,0
5946,55,SC,Medio,Solteiro,Aposentado,Aposentado,7277.32,548,105,1,764,1379,Agencia,Seguro,29,180.86,25848.38,55,5391.67,16,1,0,533,Pix falso,5900.87,3,36,0,0.035,1,0,33.0,0,0.4571,0
5947,33,PE,Fundamental,Casado,Empresario,MEI,5660.89,802,141,1,115,2494,Internet Banking,Investimentos,12,749.66,46234.05,53,3979.11,23,0,1,366,Conta invadida,775.64,1,24,0,0.0,1,1,35.5,0,0.3602,0
5948,59,PE,Medio,Solteiro,CLT,Varejo,4388.54,541,97,2,798,1298,Internet Banking,Financiamento,27,785.69,117991.21,42,3191.37,15,1,1,176,Pix falso,4985.92,1,6,1,0.585,0,0,34.2,0,0.0371,0
5949,18,RJ,Medio,Divorciado,Servidor publico,MEI,5400.89,832,139,4,761,2211,WhatsApp,Emprestimo,26,484.43,73340.98,51,3938.62,21,1,0,95,Engenharia social,1952.45,1,25,0,0.02,0,0,36.7,0,0.1422,0
5950,20,PR,Superior,Casado,CLT,MEI,7529.12,505,89,1,727,2854,App,Cartao credito,24,2084.45,260975.45,61,3838.29,41,0,1,762,Engenharia social,1018.99,1,12,1,0.777,0,0,29.5,0,0.0269,0
5951,44,BA,Medio,Casado,CLT,Varejo,9622.14,803,74,2,654,2739,Telefone,Conta corrente,23,210.8,23323.78,47,33676.83,18,2,1,28,Pix falso,1343.16,2,25,1,0.787,0,0,29.2,0,0.0522,0
5952,42,SC,Superior,Solteiro,CLT,Varejo,4480.47,800,52,1,619,2909,App,Cartao credito,21,291.58,30604.48,43,11537.94,38,0,0,30,Conta invadida,2870.0,0,20,1,0.882,0,0,20.8,0,0.0338,0
5953,31,CE,Superior,Solteiro,Aposentado,MEI,5368.9,752,64,3,442,216,Agencia,Emprestimo,23,625.94,85979.86,50,11875.11,20,3,0,21,Conta invadida,589.21,4,39,0,0.001,0,0,38.0,0,0.2033,1
5954,54,PE,Superior,Casado,CLT,Varejo,3421.72,568,104,2,633,73,App,Emprestimo,20,176.48,18719.27,45,2721.85,43,2,0,31,Cartao clonado,106.64,1,22,1,0.9,0,1,50.3,243,0.1337,0
5955,50,SC,Superior,Solteiro,Autonomo,Aposentado,4592.67,714,64,2,254,1605,Agencia,Financiamento,12,1641.84,103818.73,39,8211.55,23,0,0,385,Cartao clonado,3555.36,0,23,1,0.837,0,0,35.0,0,0.0497,0
5956,55,SC,Superior,Divorciado,CLT,Universitario,1014.6,737,62,4,661,1538,Telefone,Conta corrente,16,104.16,9807.44,37,1088.41,25,0,1,378,Conta invadida,1322.61,0,9,1,0.83,0,0,44.3,0,0.032,0
5957,40,BA,Medio,Divorciado,Aposentado,Universitario,1189.59,512,64,1,463,1671,App,Investimentos,24,129.36,17543.69,46,2893.85,42,2,0,22,Emprestimo fraudulento,23802.83,4,14,1,0.866,0,1,35.4,0,0.2415,0
5958,51,PE,Medio,Casado,Estudante,Varejo,5812.14,744,108,6,797,1184,App,Financiamento,19,159.73,16119.08,50,2286.37,35,3,0,66,Conta invadida,2460.32,2,8,0,0.008,0,1,25.4,0,0.1125,0
5959,35,RJ,Medio,Viuvo,Aposentado,Aposentado,2432.05,592,117,3,382,2435,Internet Banking,Conta corrente,23,156.24,18421.77,35,2981.8,14,1,0,91,Boleto falso,1967.99,0,16,1,0.885,0,1,36.9,254,0.0991,0
5960,73,BA,Medio,Solteiro,CLT,Alta renda,13000.11,562,38,3,142,3290,App,Seguro,29,435.96,74481.8,77,11433.91,29,2,1,226,Boleto falso,1546.81,1,13,1,0.659,0,0,53.5,0,0.0607,0
5961,30,GO,Superior,Solteiro,CLT,Varejo,2359.38,630,116,3,92,974,App,Conta salario,17,77.53,8089.39,38,2330.82,46,1,5,127,Boleto falso,1740.81,1,19,1,0.907,0,0,46.2,0,0.0475,0
5962,74,SP,Medio,Casado,Desempregado,MEI,9941.78,545,42,2,31,372,App,Cartao credito,14,639.99,54980.26,44,9413.19,41,3,0,97,Boleto falso,3190.74,1,34,0,0.006,1,0,64.0,0,0.4834,1
5963,43,SP,Medio,Solteiro,Empresario,MEI,6472.84,547,26,3,430,1336,Agencia,Conta corrente,14,222.32,18917.23,63,4144.43,15,0,0,318,Engenharia social,1507.91,2,11,0,0.043,0,0,25.2,0,0.0744,0
5964,21,SP,Medio,Casado,CLT,Varejo,4011.06,563,22,6,465,2453,Telefone,Conta corrente,22,219.95,29227.91,57,3188.38,25,2,1,508,Cartao clonado,903.84,3,14,0,0.112,0,0,44.3,0,0.1083,0
5965,63,SP,Fundamental,Casado,Autonomo,MEI,6835.14,704,66,1,569,3411,App,Cartao credito,17,923.64,77869.77,51,17962.1,39,2,0,66,Golpe do motoboy,2207.25,1,21,1,0.385,0,0,58.1,0,0.1206,0
5966,44,GO,Pos-graduacao,Divorciado,Servidor publico,Aposentado,4996.0,604,40,1,651,885,App,Conta salario,13,139.39,10100.98,54,5858.77,34,0,0,225,Pix falso,273.8,2,29,1,0.95,0,0,54.1,239,0.1389,0
5967,55,SP,Superior,Solteiro,CLT,Aposentado,3691.16,661,27,4,11,204,App,Conta salario,17,278.41,25871.36,43,2967.28,39,0,0,20,Engenharia social,349.82,1,23,1,0.844,0,0,44.1,208,0.0809,0
5968,60,SC,Fundamental,Viuvo,CLT,MEI,9877.84,683,127,4,39,3019,WhatsApp,Conta corrente,21,393.7,44099.87,47,5069.42,10,0,0,50,Golpe do motoboy,7846.81,2,16,0,0.112,0,0,59.1,231,0.3089,0
5969,47,PE,Superior,Solteiro,Desempregado,Varejo,1064.98,714,38,3,178,283,App,Conta corrente,14,112.07,7541.78,55,301.04,36,2,0,163,Engenharia social,1203.37,2,11,0,0.069,1,0,30.5,191,0.2604,0
5970,33,CE,Medio,Divorciado,Aposentado,Aposentado,1709.94,637,141,3,10,3014,WhatsApp,Cartao credito,17,55.88,4763.14,39,2227.48,23,2,0,307,Pix falso,3009.73,1,25,1,0.875,0,0,46.3,0,0.0765,0
5971,57,RJ,Medio,Casado,CLT,Varejo,3189.88,950,63,3,543,1687,Agencia,Cartao credito,11,292.15,16169.89,54,1808.61,22,2,0,271,Engenharia social,313.44,3,35,1,0.841,0,0,8.7,0,0.0392,0
5972,42,MG,Medio,Solteiro,Servidor publico,Aposentado,4207.42,770,57,3,5,2915,App,Emprestimo,32,293.59,47321.25,54,4384.96,46,1,1,14,Cartao clonado,1627.18,3,16,0,0.036,0,0,22.3,0,0.0839,0
5973,52,RJ,Superior,Solteiro,Autonomo,Universitario,1230.29,531,15,1,53,2158,Telefone,Conta corrente,22,204.6,27321.85,42,1899.89,21,2,0,22,Conta invadida,292.82,1,18,0,0.005,0,1,35.9,0,0.1603,1
5974,18,SP,Superior,Divorciado,Autonomo,Universitario,3340.41,708,109,3,205,2863,Agencia,Financiamento,24,324.1,43922.32,56,4556.91,20,2,0,0,Pix falso,885.96,1,51,0,0.05,0,1,50.2,0,0.5029,0
5975,49,SP,Medio,Casado,Aposentado,Universitario,2098.07,867,14,6,284,362,App,Cartao credito,22,201.23,27368.7,59,2954.16,34,0,0,158,Boleto falso,20470.84,5,22,1,0.524,0,0,27.0,0,0.1461,0
5976,32,SP,Medio,Solteiro,CLT,MEI,6029.39,499,31,1,710,1727,Agencia,Conta corrente,20,421.07,43350.99,51,10592.55,23,2,0,127,Boleto falso,3976.48,0,40,0,0.116,0,1,2.9,0,0.2211,0
5977,67,RJ,Medio,Casado,Empresario,Varejo,3661.06,454,86,3,693,3254,App,Conta corrente,16,600.64,48806.78,51,2383.53,30,0,0,127,Boleto falso,1544.7,2,15,0,0.105,0,0,65.3,141,0.2484,1
5978,51,SP,Pos-graduacao,Solteiro,Aposentado,Varejo,3469.57,675,69,2,487,174,App,Cartao credito,20,195.01,22534.74,41,4870.11,36,3,0,120,Pix falso,446.99,2,9,1,0.765,1,0,47.8,0,0.0888,1
5979,46,RJ,Fundamental,Casado,Servidor publico,Varejo,2047.09,693,31,2,44,46,App,Conta corrente,23,172.39,23699.29,36,1536.81,35,0,1,94,Conta invadida,17343.74,6,23,0,0.13,0,1,57.3,0,0.5688,1
5980,49,PE,Superior,Solteiro,CLT,Varejo,1229.33,827,117,5,443,1661,App,Conta corrente,18,249.02,22918.23,49,2119.06,33,0,1,120,Boleto falso,2185.05,0,48,0,0.003,1,0,45.5,0,0.5075,0
5981,27,RS,Medio,Casado,Autonomo,MEI,4725.75,817,42,1,767,847,App,Conta corrente,30,277.39,45016.92,54,2325.16,33,2,0,17,Cartao clonado,979.81,0,9,0,0.076,1,0,18.1,70,0.2058,1
5982,66,RS,Superior,Viuvo,Autonomo,Alta renda,8662.12,486,32,5,625,3455,App,Conta salario,21,1032.86,117926.07,75,6706.73,31,1,0,312,Cartao clonado,6193.42,9,50,0,0.058,1,0,54.1,294,0.8514,1
5983,72,BA,Medio,Solteiro,CLT,Varejo,1411.59,428,39,4,48,1113,Internet Banking,Cartao credito,8,93.03,4291.76,48,5258.6,15,1,0,402,Boleto falso,726.56,3,16,0,0.004,0,0,69.5,0,0.1686,1
5984,48,SP,Fundamental,Solteiro,CLT,Aposentado,5771.14,770,142,1,574,230,App,Cartao credito,19,1479.15,172024.92,38,9079.11,41,0,0,183,Pix falso,463.37,1,15,1,0.648,0,0,49.5,217,0.0842,0
5985,66,BA,Superior,Casado,Empresario,Alta renda,5283.14,818,42,3,302,518,App,Cartao credito,21,591.52,70232.0,64,10841.78,36,0,1,445,Pix falso,2454.96,2,18,1,0.9,0,0,44.9,0,0.0798,0
5986,33,SP,Fundamental,Solteiro,CLT,Varejo,2672.83,671,100,2,513,3379,Agencia,Cartao credito,22,110.21,11661.75,50,831.27,18,1,0,50,Engenharia social,1018.59,2,16,1,0.55,0,0,57.7,0,0.0502,0
